tag,description,example
O,"Outside tag for non-entity text, grammar, punctuation, filler, and other text that is not part of an agricultural concept span.","တွင်, နှင့်, ။"
PER,"Person names, farmers, scientists, experts, or named individuals.","ဦးမြင့်, ဒေါက်တာစမစ်"
LOC,"Geographic locations, countries, regions, towns, villages, fields, farms, or administrative places.","ရန်ကုန်, ပဲခူး, ဧရာဝတီ, မန္တလေးတိုင်း, ဝါးခယ်မ, မြန်မာနိုင်ငံ"
ORG,"Organizations, companies, institutions, government bodies, cooperatives, or brand/company names when used as organizations.","အော်ဘာ, ဝိစာရ, ရွှေနဂါး, စိုက်ပျိုးရေးဦးစီးဌာန"
CROP,Cultivated crops or useful plants grown or discussed agriculturally.,"စပါး, နှမ်း, ပြောင်း, ခရမ်းချဉ်, အာလူး, ကွမ်း, ပဲတီစိမ်း, ဖရုံ, ရုံးပတီ, ဖရဲ, ငွေနှင်းမှို"
VAR,"Specific crop varieties, cultivars, hybrids, or named strains.","ဆင်းသုခ, ပေါ်ဆန်းမွှေး, ဆင်းရတနာ၁၄, မနောသုခ, သကြားပြောင်း, ရေဆင်း၁၁"
FOOD,Food items or processed crop/livestock products.,"ဆန်, ဆန်ကွဲ, ဆန်မှုန့်, ပေါင်မုန့်, တို့ဖူး"
WEED,Unwanted field plants competing with crops.,"မြက်, လယ်မြက်, ဆင်ငိုမြက်, ပေါင်းပင်, ရွက်ပြန့်ပေါင်း"
PEST,"Insects, mites, worms, larvae, eggs, rodents, or organisms damaging crops.","ပျပိုး, လှေးပိုး, ဖြုတ်, ယင်ဖြူ, မွှားပင့်ကူ, ငမြှောင်တောင်, ကြွက်, ခြ, လောက်ကောင်"
SEED,"Seeds, seedlings, planting material, or seed-related entities.","မျိုးစေ့, ပျိုးပင်, စပါးမျိုးစေ့, မျိုးကောင်းမျိုးသန့်"
DIS,Plant diseases or named disease conditions.,"ရွက်ပြောက်ရောဂါ, မှဲ့ပြောက်စွန်းရောဂါ, ပင်ညှိုးရောဂါ, ပင်ခြေပုပ်ရောဂါ, မှိုရောဂါ"
SYM,"Visible symptoms or diagnostic signs of stress, disease, deficiency, or damage.","ဝါခြင်း, ရွက်ခြောက်ခြင်း, ညှိုးခြင်း, အစက်အပြောက်, ပုပ်ခြင်း, အာဟာရချို့တဲ့, အပင်မတက်, ဆေးလောင်"
CROP_PART,Anatomical parts of crops or plants.,"အရွက်, အမြစ်, ပင်စည်, အသီး, အပွင့်, အစေ့, အခေါက်, ဥ, ဖူး, အဖူး, အပင်ခြေ, ကိုင်း, အနှံ"
BIOD,Large-scale agricultural disasters caused by living organisms.,"ကျိုင်းကောင်ကျရောက်မှု, ကြွက်ဖျက်ဆီးမှု, ပိုးမွှားကျရောက်မှု"
ABIOD,Non-living environmental stresses or disasters affecting crops.,"မိုးခေါင်ခြင်း, ရေကြီးခြင်း, ရေဝပ်ခြင်း, ရေမြုပ်ခြင်း, ဆားငန်ဒဏ်, အပူဒဏ်, အအေးဒဏ်"
NUT,Chemical nutrients or supplemental substances required for plant growth.,"နိုက်ထရိုဂျင်, ဖော့စဖရပ်, ပိုတက်စီယမ်, ဇင့်, သံဓာတ်, ဆာလဖာ, ကယ်လ်စီယမ်, ဘိုရွန်, အန်ပီကေ"
DIST,"Distance, spacing, or linear measurement.","၂ပေ, ၃၀စင်တီမီတာ, ၁မီတာ, ၄လက်မ"
QTY,"Quantity, volume, weight, dosage, bags, or measurable amount. Include the full measurement unit in the span, including compound units such as `ကီလိုဂရမ်`.","၅၀ကီလိုဂရမ်, ၁၀လီတာ, ၂အိတ်, ၅တန်, တစ်ဇွန်း, ၄ဂါလံ, ၈ပြည်"
TEMP,Numeric temperature measurement with a temperature unit.,"၃၀ဒီဂရီစင်တီဂရိတ်, ၈၅ဒီဂရီဖာရင်ဟိုက်"
TIME,"Specific date, year, month, calendar time, clock/reference time, or timing point.","၂၀၂၆ခုနှစ်, မေလ၂၄ရက်, မနေ့က, ယနေ့, မနက်ဖြန်, ဇန်နဝါရီ, မတ်, မနက်, ညနေ"
PERIOD,"Duration, frequency, crop age, or interval.","၃ရက်, ၂ပတ်, ၁လ, ၆နာရီ, တစ်ပတ်တစ်ကြိမ်, ၂၅ရက်သား, ၅ရက်ခြား, ၇ရက်ကြာ"
PESTI,Pesticides or substances used to control pests.,"မာလာသီယွန်, ဆိုက်ပါမီသရင်, အဗာမက်တင်, အင်မီဒါကလိုပရစ်, တမာဆီ, ပရိုဖီနိုဖော့"
FUNG,Fungicides or substances used to control fungal/bacterial plant diseases when used as disease-control products.,"မန်ကိုဇက်, ဟက်ဇာကိုနာဇိုး, တီဘူကိုနာဇိုး, ပရိုပီကိုနာဇိုး, ကာဘင်ဒါဇင်, မက်တယ်လက်ဇီး"
HERB,Herbicides or substances used to control weeds.,"ဂလိုင်ဖိုဆိတ်, ပါရာကွက်, ကွီဇာလိုဖော့, ပင်ဒီမီသလင်, ဖိုမီဆာဖန်"
FERT,"Fertilizers, manures, composts, soil amendments, or plant tonics applied to improve crop nutrition or soil condition.","ယူရီးယား, ဒီအေပီ, ပုလဲ, ပိုတက်ရှ်, ဂျစ်ဆမ်, မြေဆွေး, နွားချေး, အီးအမ်, ကေဟူးမစ်, အပင်အားဆေး"
PATH,Pathogens or microorganisms that cause crop diseases.,"မှို, မှိုပိုး, ဘက်တီးရီးယား, ဗိုင်းရပ်စ်, နီမတိုဒ်, ဖျူစေရီယမ်မှို"
FARM_OP,"Farm operations, practices, or cultivation activities.","စိုက်ပျိုးခြင်း, ရိတ်သိမ်းခြင်း, ထွန်ယက်ခြင်း, ရေလောင်းခြင်း, ရေသွင်း, ဆေးဖျန်း, ဖျန်း, ပက်, ကြဲပက်, ရောစပ်, ကျွေး, မီးရှို့"
SOIL_TYPE,Soil classifications or soil types.,"ရွှံ့မြေ, သဲဆန်မြေ, သဲမြေ, မြေနက်, နုန်းမြေ, မြေနီ, မြေစေး"
METHOD,"Agricultural methods, techniques, systems, traps, or farming approaches.","အစက်ချရေသွင်းနည်း, ဟိုက်ဒရိုပိုနစ်နည်း, သီးလှည့်စိုက်နည်း, မီးထောင်ချောက်, သဘာဝစိုက်ပျိုးနည်း"
EQUIP,"Agricultural tools, machinery, equipment, structures, or implement parts.","ထွန်စက်, ရိတ်သိမ်းစက်, ပေါက်တူး, ဆေးဖျန်းပုံး, လက်နှိပ်ပန့်, ရေထုတ်မြောင်း, ဆန်ခါ, ပျိုးအိုး"
WEATHER,Weather or atmospheric/environmental conditions not framed as crop disasters.,"မိုးရွာခြင်း, မိုးများ, မိုးမရွာခြင်း, နေပူခြင်း, လေတိုက်ခြင်း, နှင်း, စိုစွတ်ခြင်း, ခြောက်သွေ့ခြင်း, အပူချိန်, အစိုဓာတ်"
SEASON,Agricultural or climate seasons.,"မိုးရာသီ, ဆောင်းရာသီ, နွေရာသီ, စိုက်ပျိုးရာသီ, ရိတ်သိမ်းရာသီ, ဆောင်း, နွေ, မိုး"
HUM,Humidity or water vapor level in air.,"စိုထိုင်းဆ၈၀ရာခိုင်နှုန်း, စိုထိုင်းဆမြင့်ခြင်း, RH၆၅ရာခိုင်နှုန်း"
PRICE,"Money, price, cost, income, loan amount, or market rate.","၁၀၀၀၀ကျပ်, တစ်ပိဿာ၂၅၀၀ကျပ်, ၅၀၀၀ကျပ်, ၁၀သိန်း"
YIELD,Agricultural production rate or output per area.,"တစ်ဧက၃တန်, တစ်ဧက၄တန်နှုန်း, တစ်ဧက၅၀တင်း"
COUNT,"Simple count or number of units not expressing quantity, distance, period, price, or yield.","တစ်ကြိမ်, သုံးခု, ၅ပင်, ဆယ်ကြိမ်, ၃ပြား, တစ်ပုံး, အပင်၇၀၀"
